ID Name,Sample Name,Gear Type,Gear Type Code,Color,Primary Color If Multi,Gear Type If Multi,Language,Manufacturer,Brand,Manufacturing Country,Distributing Country,Link to photo,Comments:
OAH_17_Hardplastics-109,OAH_17_Hardplastics,Hard Plastic,HP,white,,,English,,,,,OAH_17,
OAH_17_Hardplastics-113,OAH_17_Hardplastics,Hard Plastic,HP,black,,,English ,,,,,OAH_17,
OAH_17_Hardplastics-115,OAH_17_Hardplastics,Hard Plastic,HP,blue,,,Chinese,Kang Shi Fu ,Master Kong,China,,OAH_17,
OAH_17_Hardplastics-120,OAH_17_Hardplastics,Hard Plastic,HP,black,,,Chinese,,,,,OAH_17,
OAH_17_Hardplastics-122,OAH_17_Hardplastics,Hard Plastic,HP,black,,,Arabic numbers,,,,,OAH_17,
OAH_17_Hardplastics-133,OAH_17_Hardplastics,Hard Plastic,HP,black,,,Arabic numbers,,,,,OAH_17,
OAH_17_Hardplastics-138,OAH_17_Hardplastics,Float,FL,black,,,English,,,,,OAH_17,
OAH_17_Hardplastics-147,OAH_17_Hardplastics,Hard Plastic,HP,multi,,,English,,,,,OAH_17,
OAH_17_Hardplastics-154,OAH_17_Hardplastics,Hard Plastic,HP,multi,,,English,,Darlie,,,OAH_17,
OAH_17_Hardplastics-178,OAH_17_Hardplastics,Hard Plastic,HP,black,,,English/Arabic numbers,,,,,OAH_17,
OAH_17_HPmesh-002,OAH_17_HPmesh,Hard Plastic,HP,black,,,English/Arabic Numbers,,,,,OAH_17,
OAH_17_HPmesh-048,OAH_17_HPmesh,Hard Plastic,HP,white,,,English/Arabic Numbers,,,,,OAH_17,
OAH_17_HPmesh-103,OAH_17_HPmesh,Hard Plastic,HP,black,,,Arabic Numbers,,,,,OAH_17,
OAH_17_Jennpile-008,OAH_17_Jennpile,Hard plastic,HP,White,,,latin style letters/arabic numbers,,,,,OAH_17_Jennpile,
OAH_17_Lines-024,OAH_17_Lines,Line,L,white,,,Japanese,"Inaba Rope Mfg. Co., Ltd",,Japan,,OAH_17,
OAH_17_Lines-059,OAH_17_Lines,-,-,yellow,,,Japanese,"Taiko Co., Ltd",,,,OAH_17,
OAH_17_Lines-059,OAH_17_Lines,Other,O,green,,,Japanese,"Taiko Co., Ltd",,,,OAH_17,
OAH_17_LLpile-020,OAH_17_LLpile,-,-,grey,,,arabic numbers,,,,,Lab_subsample,
OAH_17_straps-015,OAH_17_straps,-,-,yellow,,,Japanese,,,,,OAH_17,
OAH_17_straps-043,OAH_17_straps,strap,ST,clear,,,Arabic numbers,,,,,OAH_17,
OAH_17_straps-048,OAH_17_straps,strap,ST,yellow,,,Arabic numbers,,,,,OAH_17,
OAH_17_tarp_sheet-017,OAH_17_tarp_sheet,hard Plastic,HP,white,,,English,,,,,,
OAH_17_unique-001,OAH_17_unique,Other,O,yellow,,,English,,,Made in China,,Unique_priority_items,
OAH_17_unique-004,OAH_17_unique,-,-,white,,,English,,,,,Unique_priority_items,
OAH_19-001,OAH_19,Float,FL,black,,,Japanese,,,,,OAH_19,
